Station;7222
1992;11,9
1993;11,475
1994;12,8333
1995;12,75
1996;11,5667
1997;13,1583
1998;12,0167
1999;12,7
2000;12,3917
2001;12,1167
2002;12,675
2003;12,9083
2004;12,1917
2005;12,425
2006;12,5417
2007;12,3
2008;11,8333
2009;12,2167
2010;11,3333
2011;13,2
2012;12,0833
2013;12,0667
2014;13,2083
2015;12,825
2016;12,4667
2017;12,7917
2018;13,225
2019;13,0833
2020;13,6167
